,Value,Type,Class,Description
7770,X-linkedadrenoleukodystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7771,X-linkedadrenoleukodystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7772,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7773,inheriteddisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7774,neurologicdysfunction,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7775,adrenalinsufficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7776,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7777,childhoodcerebralALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7778,neurologicdeterioration,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7779,cerebralALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7780,neurologicdysfunction,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7781,adrenomyeloneuropathy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7782,Addisondisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7783,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7784,childhoodcerebralALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7785,cerebralALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7786,adrenomyeloneuropathy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7787,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7788,cerebralALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7789,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7790,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7791,ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7792,skintumour,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7793,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7794,coloncancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7795,adenomatouspolyposiscoli,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7796,APC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7797,colonandsomeothercancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7798,skintumours,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7799,pilomatricomas,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7800,pilomatricomas,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7801,skintumour,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7802,tumour,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7803,pilomatricomas,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7804,tumours,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7805,tumours,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7806,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7807,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7808,syndromicdeafness,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7809,sensorineuralhearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7810,goitre,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7811,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7812,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7813,diastrophicdysplasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7814,adenoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7815,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7816,hemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7817,hemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7818,Hereditaryhemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7819,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7820,autosomalrecessivegeneticdisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7821,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7822,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7823,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7824,hemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7825,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7826,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7827,HH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7828,hemochromatosis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7829,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7830,breastcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7831,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7832,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7833,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7834,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7835,breastorovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7836,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7837,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7838,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7839,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7840,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7841,adrenoleukodystrophyproteindeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7842,X-ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7843,Inheriteddefects,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7844,adrenoleukodystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7845,peroxisomaldisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7846,X-linkedadrenoleukodystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7847,X-ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7848,X-ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7849,X-ALD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7850,tumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
7851,breastandovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
